,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
55474,1237662199350689825,212.41074,11.144449,18.73908,18.62563,18.36725,18.30928,18.28267,18.7419,18.63981,18.37013,18.30849,18.30256,1.195924,0.1134529,0.258379,0.05797195,0.02661133,b'QSO',-0.0028199999999998226,-0.014179999999999637,-0.002880000000001104,0.0007900000000020668,-0.019890000000000185
258695,1237654604776996969,133.00183,2.4929289,18.42119,18.29501,18.09188,18.05115,18.13569,18.41423,18.31283,18.09278,18.05721,18.13049,1.175993,0.1261806,0.2031307,0.04073524,-0.08453941,b'QSO',0.006959999999999411,-0.01782000000000039,-0.0009000000000014552,-0.006060000000001509,0.005199999999998539
10610,1237649919509004404,30.010753,13.251753,19.12844,18.83887,18.6167,18.64714,18.52147,19.1229,18.85229,18.60093,18.64527,18.50921,1.073735,0.2895718,0.2221756,-0.03044128,0.1256676,b'QSO',0.005539999999999878,-0.013419999999999987,0.01576999999999984,0.0018700000000002603,0.01226000000000127
89553,1237664667888058533,130.65021,25.446589,18.95674,18.69903,18.5911,18.58285,18.43248,18.96915,18.71588,18.61232,18.61118,18.45266,2.108611,0.2577095,0.1079311,0.008247375,0.1503735,b'QSO',-0.012409999999999144,-0.016849999999998033,-0.021219999999999573,-0.02833000000000041,-0.020179999999999865
293257,1237658204497379366,140.59053,40.175006,19.92328,20.14541,18.89295,24.33401,18.99173,19.85172,19.91751,18.84708,24.33394,18.95635,1.142557,-0.2221375,1.252464,-5.441063,5.342285,b'QSO',0.07155999999999807,0.22789999999999822,0.045870000000000744,7.000000000090267e-05,0.03537999999999997
290114,1237667429021843486,144.99374,20.827272,18.75078,18.68018,18.66061,18.59698,18.44036,18.73068,18.70398,18.66503,18.60396,18.44496,2.098011,0.07060623,0.01956367,0.06363678,0.1566181,b'QSO',0.02009999999999934,-0.023800000000001376,-0.004420000000003199,-0.006980000000002207,-0.0045999999999999375
359962,1237667443508641892,186.82656,27.827142,19.60333,19.10376,18.30078,17.89693,17.73401,20.07568,19.70662,18.96678,18.56909,18.41881,0.207514,0.4995708,0.8029881,0.4038448,0.1629238,b'QSO',-0.4723499999999987,-0.6028599999999997,-0.6660000000000004,-0.6721599999999981,-0.6847999999999992
75607,1237661852550430755,208.38272,43.793476,18.83263,18.85044,18.64457,18.70712,18.82833,18.8351,18.87845,18.66102,18.71185,18.83133,1.186847,-0.01780891,0.2058659,-0.0625515,-0.1212063,b'QSO',-0.002469999999998862,-0.028010000000001867,-0.016449999999998965,-0.004729999999998569,-0.0030000000000001137
138329,1237651752403861626,189.45413,1.4352841,20.50307,18.99256,18.82084,18.77584,18.73189,20.47522,18.97731,18.82109,18.78726,18.72937,3.15887,1.510509,0.1717281,0.04499817,0.04394913,b'QSO',0.02785000000000082,0.015250000000001762,-0.0002500000000011937,-0.011420000000001096,0.002520000000000522
224396,1237664338783502427,158.79579,35.172124,17.93887,17.99015,17.94269,17.72459,17.5948,17.93894,18.00208,17.96336,17.73125,17.60565,1.961989,-0.05127907,0.04746056,0.2180996,0.1297894,b'QSO',-6.999999999734996e-05,-0.011929999999999552,-0.02067000000000263,-0.00666000000000011,-0.010850000000001359
268717,1237654028719095816,174.09535,1.4456049,18.93656,18.67776,18.70816,18.85397,18.75415,18.95602,18.69553,18.7212,18.85751,18.76198,0.7988473,0.2587948,-0.03039169,-0.145813,0.09981918,b'QSO',-0.0194599999999987,-0.017770000000002284,-0.013040000000000163,-0.003540000000000987,-0.007830000000002002
151496,1237661970108121215,176.47346,6.2824484,19.24639,18.67741,18.67486,18.65722,18.39686,19.24646,18.69563,18.67658,18.66867,18.38404,2.522796,0.5689793,0.00255394,0.01763344,0.2603664,b'QSO',-6.999999999734996e-05,-0.01822000000000301,-0.0017200000000023863,-0.01144999999999996,0.012820000000001386
26166,1237651252050788492,244.05056,49.088942,19.14927,19.23322,18.77496,18.72731,18.7698,19.13942,19.25325,18.77664,18.73729,18.77283,1.234057,-0.08394241,0.4582596,0.04765129,-0.04249763,b'QSO',0.009850000000000136,-0.02003000000000199,-0.0016800000000003479,-0.00998000000000232,-0.003029999999998978
364709,1237662335717867613,238.65105,32.069005,17.45633,17.30216,17.07547,17.08684,17.08068,17.46519,17.30299,17.07719,17.08741,17.0644,1.055872,0.1541672,0.2266979,-0.01136971,0.006155014,b'QSO',-0.008859999999998536,-0.0008300000000005525,-0.0017200000000023863,-0.0005699999999997374,0.01628000000000185
